time,lat,lon,altitude_m,true_track_deg,onground,icao24,callsign,origin,destination,first_seen,last_seen,duration_hours
2026-05-24 11:36:07+00:00,51.4196,-0.5366,609,132,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:36:28+00:00,51.4031,-0.5061,609,132,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:36:53+00:00,51.3817,-0.4697,914,133,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:37:30+00:00,51.3472,-0.4146,1219,135,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:38:36+00:00,51.2847,-0.3165,1524,135,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:38:42+00:00,51.2791,-0.3071,1524,131,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:38:47+00:00,51.275,-0.2989,1524,128,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:38:52+00:00,51.271,-0.2903,1524,126,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:38:57+00:00,51.2672,-0.2816,1524,124,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:39:03+00:00,51.2625,-0.2704,1524,123,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:39:12+00:00,51.2559,-0.2542,1828,122,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:39:18+00:00,51.252,-0.2426,1828,118,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:39:23+00:00,51.2495,-0.2327,1828,110,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:39:28+00:00,51.2475,-0.2227,1828,106,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:39:33+00:00,51.2457,-0.2119,1828,104,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:40:03+00:00,51.2364,-0.1477,2133,103,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:40:19+00:00,51.2314,-0.1123,2438,100,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:40:24+00:00,51.2304,-0.1013,2438,97,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:40:30+00:00,51.2298,-0.0883,2438,93,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:40:35+00:00,51.2296,-0.0757,2438,91,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:41:06+00:00,51.2295,-0.0025,2743,89,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:41:11+00:00,51.2298,0.0087,3048,86,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:41:20+00:00,51.2312,0.0299,3048,83,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:41:32+00:00,51.2339,0.0589,3048,81,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:41:47+00:00,51.2379,0.0967,3048,80,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:42:37+00:00,51.2523,0.2327,3352,82,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:42:42+00:00,51.2533,0.2476,3657,84,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:42:47+00:00,51.2539,0.2619,3657,86,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:42:52+00:00,51.2542,0.2769,3657,88,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:42:57+00:00,51.2542,0.292,3657,90,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:43:03+00:00,51.2539,0.3098,3657,91,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:43:08+00:00,51.2534,0.3247,3962,93,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:43:13+00:00,51.2526,0.3395,3962,94,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:43:24+00:00,51.2504,0.3726,3962,95,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:43:54+00:00,51.2444,0.4637,4267,96,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:44:19+00:00,51.2392,0.5402,4572,96,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:44:46+00:00,51.233,0.6245,4876,97,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:45:23+00:00,51.2216,0.7398,5181,99,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:46:09+00:00,51.206,0.886,5486,99,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:46:39+00:00,51.1956,0.9819,5791,99,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:47:16+00:00,51.184,1.1015,6096,98,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:48:51+00:00,51.1532,1.4144,6400,98,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:49:18+00:00,51.1446,1.5026,6705,99,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:49:53+00:00,51.1323,1.6203,7010,99,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:50:35+00:00,51.1173,1.7638,7315,99,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:51:13+00:00,51.1034,1.8929,7620,99,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:51:45+00:00,51.091,2.0023,7924,101,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:51:50+00:00,51.0883,2.0201,7924,103,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:52:38+00:00,51.061,2.1818,8229,105,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:53:25+00:00,51.0333,2.3447,8534,105,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:54:12+00:00,51.0044,2.5098,8839,105,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:55:00+00:00,50.9749,2.6772,9144,105,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:56:25+00:00,50.9224,2.9715,9448,103,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 11:56:45+00:00,50.9125,3.0423,9448,101,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 12:11:37+00:00,50.5385,6.1667,9448,101,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 12:20:14+00:00,50.2903,7.9256,9448,99,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 12:20:29+00:00,50.2852,7.9795,9448,97,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 12:25:40+00:00,50.1936,9.0476,9448,95,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 12:33:31+00:00,50.0808,10.6574,9448,97,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 12:33:37+00:00,50.0788,10.6774,9448,98,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 12:33:42+00:00,50.0766,10.6976,9448,100,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 12:33:49+00:00,50.0739,10.7186,9448,101,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 12:33:53+00:00,50.0715,10.7346,9448,102,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 12:34:00+00:00,50.0679,10.7576,9448,104,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 12:34:07+00:00,50.0641,10.7791,9448,105,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 12:34:13+00:00,50.0597,10.802,9448,106,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 12:36:06+00:00,49.9821,11.1745,9448,105,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 12:36:25+00:00,49.9719,11.2379,9448,103,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 12:36:43+00:00,49.9636,11.2984,9448,101,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 12:42:08+00:00,49.8209,12.3863,9448,102,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 12:42:13+00:00,49.818,12.4054,9448,103,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 12:42:19+00:00,49.8143,12.4257,9448,105,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 12:42:25+00:00,49.8109,12.4428,9448,107,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 12:42:31+00:00,49.8067,12.4621,9448,109,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 12:42:38+00:00,49.8011,12.4849,9448,111,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 12:42:43+00:00,49.796,12.504,9448,112,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 12:42:48+00:00,49.7914,12.5199,9448,114,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 12:42:54+00:00,49.7856,12.5387,9448,116,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 12:55:40+00:00,48.9852,14.8744,9448,118,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 13:10:37+00:00,48.0367,17.5372,9448,119,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 13:15:16+00:00,47.7345,18.3407,9448,117,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 13:30:13+00:00,46.87,20.9729,9448,116,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 13:37:51+00:00,46.3948,22.2749,9448,114,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 13:37:58+00:00,46.3895,22.2944,9448,111,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 13:38:04+00:00,46.3852,22.3138,9448,107,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 13:38:10+00:00,46.3819,22.3318,9448,104,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 13:38:29+00:00,46.3729,22.3906,9448,101,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 13:39:27+00:00,46.3457,22.5733,9448,103,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 13:39:40+00:00,46.3385,22.6121,9448,105,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 13:40:00+00:00,46.3257,22.673,9448,107,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 13:40:20+00:00,46.3114,22.7357,9448,108,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 13:40:27+00:00,46.3055,22.7575,9448,111,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 13:40:36+00:00,46.2967,22.7844,9448,117,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 13:40:43+00:00,46.2889,22.8042,9448,120,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 13:55:40+00:00,45.2672,25.2676,9448,121,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 13:58:08+00:00,45.0965,25.66,9448,121,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 13:58:08+00:00,45.0965,25.66,10058,121,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 15:24:57+00:00,41.8095,40.4363,10058,92,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 15:25:56+00:00,41.8031,40.613,10058,90,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 15:26:03+00:00,41.8032,40.6331,10058,89,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 15:26:11+00:00,41.804,40.6578,10058,87,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 15:26:17+00:00,41.805,40.6778,10058,85,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 15:26:26+00:00,41.8069,40.7024,10058,83,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 15:26:33+00:00,41.8091,40.7236,10058,81,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 15:32:33+00:00,41.9369,41.8099,10058,84,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 15:32:41+00:00,41.9377,41.8324,10058,88,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 15:32:49+00:00,41.9372,41.8562,10058,92,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 15:32:56+00:00,41.9357,41.8766,10058,96,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 15:33:04+00:00,41.9328,41.9015,10058,99,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 15:35:57+00:00,41.8618,42.4098,10058,101,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 15:36:11+00:00,41.8549,42.4514,10058,103,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 15:36:26+00:00,41.8467,42.4934,10058,105,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 15:36:48+00:00,41.8319,42.5577,10058,107,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 15:37:11+00:00,41.8156,42.6206,10058,109,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 15:37:29+00:00,41.8022,42.6685,10058,110,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 15:37:39+00:00,41.7954,42.6957,10058,106,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 15:37:46+00:00,41.7916,42.7158,10058,103,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 15:37:54+00:00,41.788,42.7391,10058,100,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 15:38:00+00:00,41.7858,42.7569,10058,98,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 15:38:14+00:00,41.7818,42.797,9753,96,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 15:40:42+00:00,41.7494,43.2283,10058,97,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 15:40:48+00:00,41.747,43.2478,10058,99,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 15:43:56+00:00,41.6765,43.7899,10058,100,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 15:44:08+00:00,41.6721,43.822,9753,100,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 15:44:36+00:00,41.6614,43.9011,10058,100,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 15:44:44+00:00,41.6583,43.9235,9753,100,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 15:46:07+00:00,41.6264,44.1524,10058,100,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 15:47:11+00:00,41.6016,44.3317,10363,100,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 15:48:00+00:00,41.5823,44.4728,10668,100,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
2026-05-24 15:48:03+00:00,41.5811,44.4817,10363,100,False,780a61,CPA252  ,EGLL,VMMC,2026-05-24 11:34:55+00:00,2026-05-24 23:27:32+00:00,11.876944444444444
